Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
KORE11,Lajes Corporativas,"73,16","1.718.270,65","0,69","0,6","0,80 %","2,38 %","7,87 %","18,60 %","0,79 %","1,31 %","1,55 %","4,10 %","-4,42 %","-3,66 %","16,06 %","1.021.523.452,80",N/A,N/A,N/A,N/A,N/A,N/A,4,"1.878,80",31.140,N/A,N/A,"1,06 % a.a"
KRES11,Misto,N/A,N/A,N/A,0,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"244.650.894,99",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,131,N/A,N/A,N/A
LAFI11,Misto,"119,63","3.746,57","1,02","3,42","0,00 %","0,00 %","0,00 %","4,30 %","0,00 %","0,00 %","1,43 %","12,22 %","0,00 %","0,00 %",N/A,"90.498.565,07","112,63","1,06","3,04 %","0,00 %","0,00 %","0,00 %",0,"17.122,23",1.277,N/A,N/A,N/A
LASC11,Shoppings,114,"2.121.698,75","0,86","0,75","0,67 %","1,78 %","4,07 %","18,08 %","0,59 %","0,68 %","1,51 %","1,14 %","3,21 %","3,90 %","13,50 %","387.976.761,34","131,94","0,86","0,57 %","23,35 %","24,06 %","24,59 %",2,"2.348,13",622,N/A,"20,00 % a.a","1,07 % a.a"
LAVF11,Indefinido,N/A,N/A,N/A,"1,3","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,8.102,N/A,N/A,N/A
LFTT11,Papéis,"2,1","598.719,00","0,04","0,21","0,00 %","0,00 %","0,00 %","86,12 %","0,00 %","0,00 %","7,18 %","187,89 %","0,00 %","0,00 %",N/A,"32.136.188,24","51,02","0,04","0,41 %","27,42 %","27,95 %","-54,91 %",51,"17.423,47",8,N/A,N/A,N/A
LIFE11,Imóveis Comerciais - Outros,"8,69","950.556,65","0,94","0,12","1,34 %","4,23 %","8,65 %","17,55 %","1,41 %","1,44 %","1,46 %","2,75 %","4,81 %","6,21 %","13,29 %","368.109.736,05",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.375,14",20.254,N/A,"20,00 % a.a","1,38 % a.a"
LKDV11,Papéis,"1.081,93","765.465,00","0,98","82,32","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"73.487.802,74",N/A,N/A,N/A,N/A,N/A,N/A,1,"3.363,27",101,N/A,N/A,N/A
LLAO11,Misto,"57,2",57,"1,12","7,31","11,32 %","0,00 %","0,00 %","11,32 %","0,00 %","0,00 %","1,62 %","11,32 %","-2,11 %","8,97 %","8,97 %","18.433.329,76",N/A,N/A,N/A,N/A,N/A,N/A,9,"4.525,13",78,N/A,N/A,N/A
LOFT11B,Fundo de Desenvolvimento,"29,9",N/A,"1.495,00","47,9","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","92,37 %","0,00 %","0,00 %",N/A,"34.039,25",N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,8,N/A,N/A,N/A
